"Статус","Количество"
"Active","36"
"Draft","32"
"Final","261"
"Provisional","0"
"Rejected","118"
"Superseded","16"
"Withdrawn","54"
"Deferred","36"
"April Fool!","1"
"Accepted","37"
"Total","591"
